Kennziffer;Raumeinheit;Aggregat;Krankenhausbetten;Ärzte je  Einwohner;Einwohner je Arzt;Hausärzte;Allgemeinärzte;Internisten;Kinderärzte;Apotheken;Entwicklung Krankenhausbetten
"05366";"Euskirchen";"Landkreis";"5,55";"12,8";"781,0";"6,5";"4,2";"0,8";"4,2";"28,6";"-3,0"
"05370";"Heinsberg";"Landkreis";"4,06";"12,1";"829,9";"6,1";"3,5";"0,7";"4,9";"23,3";"2,7"
"05374";"Oberbergischer Kreis";"Landkreis";"5,55";"12,2";"819,7";"5,8";"2,8";"0,7";"4,4";"23,4";"-6,5"
"05378";"Rheinisch-Bergischer Kreis";"Landkreis";"4,16";"13,0";"772,1";"6,0";"2,5";"0,5";"4,6";"25,1";"0,6"
"05382";"Rhein-Sieg-Kreis";"Landkreis";"2,43";"12,5";"797,7";"6,2";"3,2";"0,5";"4,8";"24,7";"-5,3"
"05512";"Bottrop, Stadt";"krsfr. Stadt";"6,00";"12,9";"777,2";"5,1";"3,6";"1,0";"4,7";"22,2";"0,0"
"05513";"Gelsenkirchen, Stadt";"krsfr. Stadt";"6,76";"13,4";"743,7";"5,8";"3,6";"0,8";"3,8";"26,9";"1,5"
"05515";"Münster, Stadt";"krsfr. Stadt";"11,99";"19,6";"509,9";"6,3";"3,8";"1,6";"8,4";"30,0";"0,2"
"05554";"Borken";"Landkreis";"5,08";"11,8";"844,1";"5,7";"3,8";"0,7";"4,2";"23,8";"-2,1"
"05558";"Coesfeld";"Landkreis";"3,91";"12,6";"794,8";"6,5";"4,8";"0,7";"5,2";"22,8";"2,1"
"05562";"Recklinghausen";"Landkreis";"7,98";"12,8";"783,8";"5,4";"3,4";"0,8";"4,7";"27,4";"-1,1"
"05566";"Steinfurt";"Landkreis";"4,71";"12,1";"823,9";"6,1";"4,3";"0,6";"4,1";"26,2";"-10,4"
"05570";"Warendorf";"Landkreis";"4,84";"12,1";"825,8";"5,9";"4,3";"0,7";"4,3";"25,9";"-12,7"
"05711";"Bielefeld, Stadt";"krsfr. Stadt";"11,92";"17,2";"581,4";"5,6";"3,3";"1,1";"5,7";"23,8";"0,2"
"05754";"Gütersloh";"Landkreis";"3,93";"10,7";"933,3";"4,8";"2,9";"0,8";"4,3";"22,6";"16,9"
"05758";"Herford";"Landkreis";"4,35";"11,8";"849,8";"5,2";"3,2";"0,8";"5,2";"24,6";"0,0"
"05762";"Höxter";"Landkreis";"7,51";"11,8";"847,7";"6,2";"4,3";"0,6";"3,7";"30,4";"8,9"
"05766";"Lippe";"Landkreis";"4,66";"11,8";"849,3";"5,7";"3,6";"0,8";"3,5";"26,9";"1,9"
"05770";"Minden-Lübbecke";"Landkreis";"7,56";"12,8";"781,9";"6,0";"4,1";"0,7";"4,1";"26,7";"2,7"
"05774";"Paderborn";"Landkreis";"5,79";"12,4";"807,8";"5,7";"4,1";"0,9";"4,0";"24,2";"0,0"
"05911";"Bochum, Stadt";"krsfr. Stadt";"9,66";"14,3";"700,2";"5,4";"3,3";"0,9";"6,1";"28,5";"6,7"
"05913";"Dortmund, Stadt";"krsfr. Stadt";"6,68";"13,2";"759,8";"5,2";"2,7";"0,8";"4,7";"24,0";"-15,9"
"05914";"Hagen, Stadt";"krsfr. Stadt";"8,98";"13,6";"733,3";"6,0";"3,7";"1,0";"4,6";"24,5";"-5,2"
"05915";"Hamm, Stadt";"krsfr. Stadt";"9,93";"13,2";"756,1";"5,2";"2,9";"1,1";"5,1";"25,7";"2,3"
